strategy,generation,min_fitness,mean_fitness,max_fitness,time_per_gen,total_time,cpu_percent,memory_used_MB,mean_diversity,mutation_rate,reinitializations
6,1,0.4780234024412044,0.49992527299801703,0.5347010228909683,0.025017976760864258,0.025017976760864258,29.85,390.1640625,146.79726578331866,0.1,0
6,2,0.3603412132582857,0.5007775976755636,0.7086414527136058,0.024936676025390625,0.04995465278625488,19.6,390.1640625,82.47845411563347,0.1,0
6,3,0.16389363058721934,0.5044170157256836,0.7263873432076365,0.024223804473876953,0.07417845726013184,30.275,390.1640625,47.978013194949185,0.1,0
6,4,0.11079463577886567,0.4953065161827476,0.8991369383322474,0.02440190315246582,0.09858036041259766,20.05,390.1640625,25.850465076021095,0.1,0
6,5,0.06412033228271163,0.5018241182458063,0.9546115494660741,0.024187564849853516,0.12276792526245117,30.35,390.1640625,12.012422535555476,0.1,0
6,6,0.05659958428086931,0.5025154202196815,0.9379883862354177,0.02387404441833496,0.14664196968078613,20.475,390.1640625,6.6260802131320276,0.1,0
6,7,0.0765583210719557,0.5576007341376088,0.9217984367269927,0.023496389389038086,0.17013835906982422,31.2,390.1640625,3.7957163916998358,0.15000000000000002,0
6,8,0.06181316608994675,0.6289310708192235,0.9218095823539547,0.024413585662841797,0.19455194473266602,20.05,390.1640625,2.3214725570134287,0.22500000000000003,0
6,9,0.10198132622894918,0.5732069300417875,0.9218075910978382,0.026160001754760742,0.22071194648742676,27.7,390.1640625,1.7051787908941103,0.3375,0
6,10,0.10201107496343825,0.39888308726284366,0.921801767568813,0.02598261833190918,0.24669456481933594,28.025,390.1640625,1.7873549970004068,0.5062500000000001,0
6,11,0.10196824614209571,0.2963511993473993,0.9207947180725904,0.02408623695373535,0.2707808017730713,20.25,390.1640625,2.4229290419906366,0.7593750000000001,0
6,12,0.10196877627466389,0.3642255644097807,0.9218096737357133,0.023459911346435547,0.29424071311950684,20.8,390.1640625,3.560524108298101,1.1390625,0
6,13,0.10198243001492246,0.5113622384227267,0.9214729994800732,0.02387213706970215,0.318112850189209,30.675,390.1640625,5.347366515726238,1.1390625,0
6,14,0.06372259710193917,0.4752455310107213,0.9218019673154029,0.02341771125793457,0.34153056144714355,20.875,390.1640625,5.786324370133455,1.1390625,0
6,15,0.10197964252774244,0.4640756239907428,0.9217808442746016,0.02341914176940918,0.36494970321655273,31.3,390.1640625,5.881848594139778,1.1390625,0
6,16,0.0847221670543793,0.5015918440526898,0.9217952679011425,0.023487091064453125,0.38843679428100586,20.8,390.1640625,5.894010200369675,1.1390625,0
6,17,0.05745868943437843,0.47359710327799376,0.9209564126043202,0.023514509201049805,0.41195130348205566,20.775,390.1640625,5.935390561112697,1.1390625,0
6,18,0.06382617117002415,0.4826920668773287,0.9217548985252466,0.02407073974609375,0.4360220432281494,30.45,390.1640625,5.843436888776268,1.1390625,0
6,19,0.0737088006312277,0.4804749089857079,0.9214057943554007,0.02352118492126465,0.45954322814941406,20.75,390.1640625,5.978090771318418,1.1390625,0
6,20,0.06799261031680887,0.47733443370179757,0.9217312540077429,0.02362227439880371,0.4831655025482178,31.025,390.1640625,5.924481135136045,1.1390625,0
6,21,0.056501650322054786,0.4721864821118578,0.9217382056441348,0.02362990379333496,0.5067954063415527,20.675,390.1640625,5.978640653063853,1.1390625,0
6,22,0.05708284151992116,0.4654217604061774,0.9217153636776363,0.02375960350036621,0.530555009841919,30.825,390.1640625,6.065161515525079,1.1390625,0
6,23,0.056374463598169056,0.4785836133851866,0.9217758665388411,0.023391008377075195,0.5539460182189941,20.85,390.1640625,6.017047054068352,1.1390625,0
6,24,0.10196859531760938,0.4758652835466603,0.9217214127188448,0.023700475692749023,0.5776464939117432,20.6,390.1640625,5.944281984863064,1.1390625,0
6,25,0.08968504999600252,0.45194061933746554,0.9218093187436367,0.023559093475341797,0.601205587387085,31.075,390.1640625,5.914051337148212,1.1390625,0
6,26,0.07561129935148075,0.47196117873809035,0.9218104483645639,0.023487091064453125,0.6246926784515381,20.775,390.1640625,5.886112756857091,1.1390625,0
6,27,0.06121553878167679,0.4480282497934607,0.9212308797701007,0.02353072166442871,0.6482234001159668,31.1,390.1640625,5.87233020735313,1.1390625,0
6,28,0.06747659927235017,0.4719684629740186,0.9217501618614137,0.023589372634887695,0.6718127727508545,20.625,390.1640625,6.03055838138041,1.1390625,0
6,29,0.09500903412611145,0.48619189204069,0.9212324046653292,0.0236203670501709,0.6954331398010254,30.875,390.1640625,6.041108853847005,1.1390625,0
6,30,0.09538330207100887,0.47676800443191536,0.9217575535506524,0.023343324661254883,0.7187764644622803,20.9,390.1640625,6.002166974495582,1.1390625,0
6,31,0.10197067940616827,0.4819780222582547,0.921809155622197,0.023369550704956055,0.7421460151672363,20.775,390.1640625,5.9679497676065125,1.1390625,0
6,32,0.09558986602718655,0.5076563335060124,0.9217556531703694,0.023354530334472656,0.765500545501709,31.35,390.1640625,5.990390771690597,1.1390625,0
6,33,0.06335851879197663,0.49336418577633223,0.9218097942507089,0.023910999298095703,0.7894115447998047,20.425,390.1640625,6.081068434059294,1.1390625,0
6,34,0.0565365439561098,0.49452371771523657,0.9218104285629547,0.023688554763793945,0.8131000995635986,30.875,390.1640625,5.993416660075341,1.1390625,0
