strategy,generation,min_fitness,mean_fitness,max_fitness,time_per_gen,total_time,cpu_percent,memory_used_MB,mean_diversity,mutation_rate,reinitializations
5,1,0.4984573286052959,0.5000014556613275,0.5015818884520152,0.023753881454467773,0.023753881454467773,20.95,390.1640625,254.9534523523015,0.1,0
5,2,0.49900181395544807,0.5000421914294768,0.5014562963231264,0.026491165161132812,0.050245046615600586,27.725,390.1640625,249.62024201640907,0.1,0
5,3,0.49899811282930534,0.5000725857242769,0.5014753934375114,0.024171113967895508,0.0744161605834961,20.225,390.1640625,235.6770954305488,0.1,0
5,4,0.49899811275551376,0.50027019053834,0.5014753905161307,0.023788928985595703,0.0982050895690918,30.85,390.1640625,204.64769270689172,0.1,0
5,5,0.49973491189484576,0.5003724030539908,0.5012367753709961,0.024457216262817383,0.12266230583190918,20.0,390.1640625,156.73689352622523,0.1,0
5,6,0.499947159812777,0.5002238920944104,0.5004572101440541,0.02662825584411621,0.1492905616760254,27.3,390.1640625,50.50020418678713,0.1,0
5,7,0.5000784177314943,0.5002127075604647,0.5002298931640298,0.024510860443115234,0.17380142211914062,29.525,390.1640625,0.9512620976422043,0.15000000000000002,0
5,8,0.4999906655064771,0.5002055263516574,0.5002298930263395,0.024262666702270508,0.19806408882141113,20.15,390.1640625,1.047312286364868,0.22500000000000003,0
5,9,0.49994627338275155,0.5001938855550735,0.5002298916245737,0.026224851608276367,0.2242889404296875,27.825,390.1640625,1.3073023035125102,0.3375,0
5,10,0.4998417101498403,0.5001624748679048,0.5002298919248527,0.027158260345458984,0.2514472007751465,26.925,390.1640625,1.8588606379975219,0.5062500000000001,0
5,11,0.49976364824476055,0.5001162910627354,0.5002298929134414,0.026876449584960938,0.2783236503601074,18.075,390.1640625,2.6485256119076133,0.7593750000000001,0
5,12,0.49976352499434384,0.5000507372023602,0.5002298931717973,0.026151180267333984,0.3044748306274414,27.95,390.1640625,3.9763580900738664,1.1390625,0
5,13,0.4997633951466636,0.5000032315686377,0.5002298927298684,0.023989439010620117,0.3284642696380615,30.35,390.1640625,5.955638165287536,1.1390625,0
5,14,0.4997633749935175,0.49999125129138716,0.50024361217888,0.023161888122558594,0.3516261577606201,21.075,390.1640625,6.98557980581455,1.1390625,0
5,15,0.4997634403315791,0.500004099694652,0.5002436032680618,0.02360057830810547,0.3752267360687256,20.7,390.1640625,7.444592616171842,1.1390625,0
5,16,0.4997629635364412,0.5000013903242682,0.5002435181015704,0.023534774780273438,0.398761510848999,30.975,390.1640625,8.04635180653639,1.1390625,0
5,17,0.4997497480969452,0.5000059810981905,0.5002434420039296,0.023138999938964844,0.42190051078796387,21.1,390.1640625,8.329826709257295,1.1390625,0
5,18,0.49976337001328375,0.5000103537946521,0.5002569413904079,0.023841381072998047,0.4457418918609619,30.75,390.1640625,8.511063201365733,1.1390625,0
5,19,0.49974916954996623,0.5000042542023051,0.5002430222041888,0.023883819580078125,0.46962571144104004,20.45,390.1640625,8.804814981595872,1.1390625,0
5,20,0.49976337492049294,0.49999766215479896,0.5002434354859535,0.023406267166137695,0.49303197860717773,20.85,390.1640625,8.918398465994366,1.1390625,0
5,21,0.49976337478131583,0.49999098709600837,0.5002583238254409,0.02414679527282715,0.5171787738800049,30.175,390.1640625,9.053616895637047,1.1390625,0
5,22,0.49976384496673565,0.5000005947481605,0.500239466202919,0.023194313049316406,0.5403730869293213,20.875,390.1640625,9.044474055464207,1.1390625,0
5,23,0.4997510531181691,0.500008150390361,0.5002431863556588,0.023267507553100586,0.5636405944824219,31.275,390.1640625,9.077372123097343,1.1390625,0
5,24,0.49976338136223863,0.50000595589647,0.5002427902973471,0.023938655853271484,0.5875792503356934,20.325,390.1640625,9.062024343875969,1.1390625,0
5,25,0.499761714413336,0.5000033051395136,0.5002435960082057,0.02363443374633789,0.6112136840820312,30.95,390.1640625,9.194884856309764,1.1390625,0
5,26,0.4997493290078542,0.5000129721111809,0.5002420525018161,0.02382040023803711,0.6350340843200684,20.5,390.1640625,9.127777444426002,1.1390625,0
5,27,0.4997551153504741,0.5000027122766704,0.5002432992038827,0.02352619171142578,0.6585602760314941,31.1,390.1640625,9.229735826341944,1.1390625,0
5,28,0.4997551693198437,0.5000150208779266,0.5002434173301206,0.0235440731048584,0.6821043491363525,20.725,390.1640625,9.13551673650071,1.1390625,0
5,29,0.49976337305539126,0.4999947204353379,0.5002435271333907,0.02355051040649414,0.7056548595428467,20.725,390.1640625,9.200152837872265,1.1390625,0
5,30,0.49976341343579345,0.500005042615175,0.5002421522133118,0.023392677307128906,0.7290475368499756,31.275,390.1640625,9.164555784749918,1.1390625,0
5,31,0.49975048846829245,0.49999431523258736,0.500243608955215,0.02402496337890625,0.7530725002288818,20.3,390.1640625,9.308544636783859,1.1390625,0
5,32,0.4997492859654854,0.4999924580942738,0.5002583398106383,0.023549318313598633,0.7766218185424805,30.925,390.1640625,9.326680422779718,1.1390625,0
5,33,0.49975556628150103,0.500008839623641,0.50024360532093,0.023206710815429688,0.7998285293579102,21.0,390.1640625,9.31475768142516,1.1390625,0
5,34,0.49976353782781213,0.5000038322828338,0.5002436144489424,0.0235593318939209,0.823387861251831,20.725,390.1640625,9.458799161649232,1.1390625,0
5,35,0.4997491427759361,0.49999859243500844,0.5002432106773675,0.023293018341064453,0.8466808795928955,31.4,390.1640625,9.251694983889935,1.1390625,0
5,36,0.49974914536498644,0.5000173279877167,0.5002436062436838,0.023878097534179688,0.8705589771270752,20.4,390.1640625,9.147438405819262,1.1390625,0
5,37,0.49976339518984203,0.5000088303394667,0.5002407148950395,0.023995399475097656,0.8945543766021729,30.375,390.1640625,9.063879879229313,1.1390625,0
5,38,0.49975124405091337,0.5000063630155108,0.5002436088244295,0.02342963218688965,0.9179840087890625,20.8,390.1640625,9.051772708809315,1.1390625,0
5,39,0.4997634602021013,0.5000015823229493,0.5002436120234895,0.023625850677490234,0.9416098594665527,30.975,390.1640625,9.159570407164903,1.1390625,0
5,40,0.4997634363483069,0.5000056914925866,0.5002434296638004,0.023230791091918945,0.9648406505584717,20.975,390.1640625,9.020409487022544,1.1390625,0
5,41,0.49974971684333347,0.49999460586191474,0.500243494763537,0.023801326751708984,0.9886419773101807,20.5,390.1640625,8.992169566098854,1.1390625,0
5,42,0.4997492041249805,0.5000113409239166,0.500243583540322,0.02458333969116211,1.0132253170013428,29.675,390.1640625,9.042130222649893,1.1390625,0
5,43,0.4997633740201031,0.5000045510801253,0.5002434957476233,0.02329707145690918,1.036522388458252,20.925,390.1640625,9.250534545251504,1.1390625,0
5,44,0.4997511090683517,0.5000120435518992,0.5002436099621946,0.02308511734008789,1.0596075057983398,31.675,390.1640625,9.379504395997197,1.1390625,0
5,45,0.4997633852443102,0.4999933948747157,0.5002578162852183,0.023493051528930664,1.0831005573272705,20.675,390.1640625,9.518289257364007,1.1390625,0
