run,generation,min_fitness,mean_fitness,max_fitness,fitness_calls,fitness_time_total,avg_time_per_gen,cpu_percent,memory_used_MB,population,run_time_seconds,total_time_seconds,total_fitness_calls,total_fitness_eval_time
9,1,0.16124390850055603,0.5034143035532419,0.9486676673902703,999,0.016785383224487305,0.03413283824920654,28.2,4372.25390625,"[[0. 1. 1. ... 0. 0. 1.]
 [0. 0. 1. ... 0. 0. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 ...
 [1. 0. 1. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 0. 0.]
 [1. 1. 1. ... 1. 0. 0.]]",46.400344133377075,376.95631551742554,249492,4.624020099639893
9,50,0.06838677753731442,0.519937585819204,0.9902765423607234,25412,0.4604222774505615,0.06075877769320619,35.0,4374.90234375,"[[0. 1. 1. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 0. 0.]
 [0. 1. 1. ... 1. 0. 0.]
 ...
 [1. 1. 1. ... 1. 0. 0.]
 [0. 1. 0. ... 0. 0. 1.]
 [1. 1. 0. ... 0. 1. 0.]]",46.400344133377075,376.95631551742554,249492,4.624020099639893
9,100,0.0024639813498519847,0.6626498122809816,0.9999440938855845,50313,0.9074106216430664,0.06614608811860037,30.8,4363.19140625,"[[0. 1. 1. ... 0. 1. 1.]
 [0. 1. 1. ... 0. 1. 1.]
 [0. 1. 0. ... 1. 1. 1.]
 ...
 [0. 1. 1. ... 0. 1. 0.]
 [0. 1. 1. ... 1. 0. 0.]
 [1. 1. 0. ... 1. 1. 0.]]",46.400344133377075,376.95631551742554,249492,4.624020099639893
9,150,0.002651047392536854,0.6482816333668243,0.9999957932092496,75201,1.3678081035614014,0.07202558643770533,34.3,4358.890625,"[[0. 1. 1. ... 0. 1. 0.]
 [0. 1. 0. ... 1. 0. 1.]
 [0. 1. 1. ... 0. 0. 1.]
 ...
 [0. 1. 1. ... 1. 1. 0.]
 [0. 1. 1. ... 1. 1. 1.]
 [0. 1. 0. ... 0. 1. 0.]]",46.400344133377075,376.95631551742554,249492,4.624020099639893
9,200,0.013074646141203294,0.6183076026581777,0.9999974955902494,100113,1.8178482055664062,0.07581556258510001,32.8,4365.2421875,"[[0. 1. 1. ... 0. 1. 0.]
 [0. 1. 1. ... 0. 0. 1.]
 [0. 1. 1. ... 0. 0. 0.]
 ...
 [0. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [0. 0. 1. ... 0. 0. 0.]]",46.400344133377075,376.95631551742554,249492,4.624020099639893
9,250,0.002494640703276374,0.6341792928616018,0.9999999967104534,125013,2.2659144401550293,0.07800042296785757,28.6,4364.09375,"[[0. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 0. 1. 1.]
 [0. 1. 1. ... 0. 1. 1.]
 ...
 [0. 1. 1. ... 0. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 0. 0. 1.]]",46.400344133377075,376.95631551742554,249492,4.624020099639893
9,300,0.010183633773865552,0.6108892696702747,0.9999999974217066,149900,2.723975896835327,0.08095530418066488,31.4,4356.640625,"[[0. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 1. 1. 0.]
 [0. 1. 1. ... 0. 1. 0.]
 ...
 [0. 1. 1. ... 1. 0. 1.]
 [0. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 1. 0. 1.]]",46.400344133377075,376.95631551742554,249492,4.624020099639893
9,350,0.005823267029656964,0.6619105497156648,0.9999999999110933,174787,3.1849935054779053,0.08376122811580995,34.3,4377.9375,"[[0. 1. 1. ... 1. 1. 0.]
 [0. 1. 1. ... 0. 1. 0.]
 [0. 1. 0. ... 0. 1. 0.]
 ...
 [0. 1. 1. ... 1. 1. 0.]
 [0. 1. 1. ... 0. 1. 1.]
 [0. 1. 1. ... 1. 0. 0.]]",46.400344133377075,376.95631551742554,249492,4.624020099639893
9,400,0.006290200235275045,0.6476262261369027,0.9999999999110933,199680,3.649561882019043,0.08640007366266036,33.4,4344.23046875,"[[0. 1. 1. ... 1. 1. 0.]
 [0. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 0. 0. 1.]
 ...
 [0. 1. 1. ... 1. 1. 0.]
 [0. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 1. 1. 0.]]",46.400344133377075,376.95631551742554,249492,4.624020099639893
9,450,0.007047667777966782,0.6899486613811118,0.9999999999110933,224584,4.138914346694946,0.0895258518650368,37.0,4342.0390625,"[[0. 1. 1. ... 1. 1. 0.]
 [0. 0. 1. ... 0. 1. 0.]
 [1. 1. 1. ... 1. 1. 0.]
 ...
 [0. 1. 1. ... 0. 0. 1.]
 [0. 1. 1. ... 1. 0. 1.]
 [0. 1. 1. ... 0. 1. 1.]]",46.400344133377075,376.95631551742554,249492,4.624020099639893
9,500,0.007333129403792882,0.6440873351717178,0.9999999999822187,249492,4.624020099639893,0.09256426921623671,33.7,4333.8359375,"[[0. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 0. 1. 1.]
 [0. 1. 1. ... 0. 1. 0.]
 ...
 [0. 1. 1. ... 0. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 0. 1. 1.]]",46.400344133377075,376.95631551742554,249492,4.624020099639893
