run,generation,min_fitness,mean_fitness,max_fitness,time_per_gen,total_time,cpu_percent,cpu_time,memory_used_MB
1,1,0.07978408911758572,0.5026687828019125,0.9850821971731722,0.11340665817260742,0.11340665817260742,24.85,34.01,325.30859375
1,2,0.10704836253729816,0.5076113708815904,0.9850821971731722,0.0810401439666748,0.19444680213928223,24.725,34.09,325.30859375
1,3,0.034808408390846535,0.5061722867650504,0.9850821971731722,0.08883833885192871,0.28328514099121094,25.275,34.18,325.30859375
1,4,0.027721948945527763,0.5079651768410183,0.9850821971731722,0.08393597602844238,0.3672211170196533,23.825,34.26,325.30859375
1,5,0.17548747643124368,0.5074790351765686,0.9850821971731722,0.08271503448486328,0.4499361515045166,27.2,34.35,325.30859375
1,6,0.0231941080833184,0.5073159151464562,0.9850821971731722,0.0822896957397461,0.5322258472442627,24.3,34.43,325.30859375
1,7,0.10219110805333803,0.5076031070336096,0.9850821971731722,0.0861814022064209,0.6184072494506836,26.125,34.52,325.30859375
1,8,0.011808674856188306,0.5012874563012578,0.9886916222261906,0.08620810508728027,0.7046153545379639,23.2,34.6,325.30859375
1,9,0.07746972467573049,0.49599500287755155,0.9886916222261906,0.08684897422790527,0.7914643287658691,25.9,34.69,325.30859375
1,10,0.12700319185106718,0.5060469500250913,0.9886916222261906,0.08320331573486328,0.8746676445007324,24.025,34.77,325.30859375
1,11,0.11212256700125917,0.5051003789799766,0.9886916222261906,0.0802457332611084,0.9549133777618408,24.925,34.85,325.30859375
1,12,0.027651376440425424,0.5054303772533781,0.9886916222261906,0.07841324806213379,1.0333266258239746,25.5,34.93,325.30859375
1,13,0.11749401516550867,0.5051640529349583,0.9886916222261906,0.0777292251586914,1.111055850982666,25.725,35.01,325.30859375
1,14,0.02818756644526016,0.503516631505082,0.9886916222261906,0.08264994621276855,1.1937057971954346,24.2,35.09,325.30859375
1,15,0.08919461862016081,0.5044652720394739,0.9886916222261906,0.08223676681518555,1.2759425640106201,24.325,35.17,325.30859375
1,16,0.010815130444761067,0.5038877100703983,0.9886916222261906,0.07868242263793945,1.3546249866485596,25.425,35.25,325.30859375
1,17,0.02107870208181334,0.502812365054356,0.9886916222261906,0.08327293395996094,1.4378979206085205,24.025,35.33,325.30859375
