run,generation,min_fitness,mean_fitness,max_fitness,fitness_calls,fitness_time_total,avg_time_per_gen,cpu_percent,memory_used_MB,run_time_seconds,total_time_seconds,total_fitness_calls,total_fitness_eval_time
30,1,0.10463332232047284,0.5025488985521724,0.9371162429203463,600,0.011077165603637695,0.0294954776763916,31.2,8546.94140625,52.989888191223145,1429.8732779026031,50199,1.0853509902954102
30,50,0.002720385796962266,0.8732872479276879,0.9902838964492205,5443,0.09540295600891113,0.05240769947276396,40.1,8677.234375,52.989888191223145,1429.8732779026031,50199,1.0853509902954102
30,100,0.05647079253366488,0.9109503444384598,0.9902839444709051,10414,0.18028831481933594,0.06369536465937549,38.1,8676.94921875,52.989888191223145,1429.8732779026031,50199,1.0853509902954102
30,150,0.0626148416621728,0.8915392585652375,0.990283843320467,15381,0.2636265754699707,0.06672929928002767,31.6,8546.953125,52.989888191223145,1429.8732779026031,50199,1.0853509902954102
30,200,0.014764981031758828,0.909926260652013,0.9902840131360722,20352,0.34684085845947266,0.07011966800215233,26.8,8542.5703125,52.989888191223145,1429.8732779026031,50199,1.0853509902954102
30,250,0.02255592295478681,0.9101016620442333,0.990284004232193,25320,0.4440460205078125,0.07547037629967192,41.2,8542.2265625,52.989888191223145,1429.8732779026031,50199,1.0853509902954102
30,300,0.08671774406588745,0.9229917256566925,0.9902834163099903,30296,0.5706264972686768,0.08419132628710167,61.8,8541.73828125,52.989888191223145,1429.8732779026031,50199,1.0853509902954102
30,350,0.017744039347376617,0.914730700011133,0.9902833556370045,35271,0.7034859657287598,0.09134585429460575,61.9,8543.34375,52.989888191223145,1429.8732779026031,50199,1.0853509902954102
30,400,0.09682981043241412,0.921551459597103,0.9902827065597062,40249,0.8394749164581299,0.09870294561409891,71.0,8705.04296875,52.989888191223145,1429.8732779026031,50199,1.0853509902954102
30,450,0.002511129222121933,0.9233251665052163,0.9902827941201416,45227,0.9550507068634033,0.10136619163986849,51.8,8561.703125,52.989888191223145,1429.8732779026031,50199,1.0853509902954102
30,500,0.02313164454637484,0.9224270856875753,0.9902835255589264,50199,1.0853509902954102,0.10571596294106124,59.9,8575.703125,52.989888191223145,1429.8732779026031,50199,1.0853509902954102
