run,generation,min_fitness,mean_fitness,max_fitness,fitness_calls,fitness_time_total,avg_time_per_gen,cpu_percent,memory_used_MB,run_time_seconds,total_time_seconds,total_fitness_calls,total_fitness_eval_time
11,1,0.16229389254613052,0.49819077983507765,0.7539674324844428,600,0.009349584579467773,0.025195002555847168,25.0,7926.28125,40.60775709152222,448.209673166275,50214,0.8344912528991699
11,50,0.11561314138400647,0.7754639712834722,0.9217526735505639,5453,0.08886122703552246,0.04926400091133866,26.4,7930.37890625,40.60775709152222,448.209673166275,50214,0.8344912528991699
11,100,0.038673991133900076,0.8600965558378058,0.9218108157744012,10403,0.1706242561340332,0.058517385237287764,34.1,7950.40234375,40.60775709152222,448.209673166275,50214,0.8344912528991699
11,150,0.06571016655233869,0.8556991649882708,0.9218103386151686,15365,0.25124526023864746,0.0631369628653621,26.2,7943.8359375,40.60775709152222,448.209673166275,50214,0.8344912528991699
11,200,0.04830836043717002,0.8482355996260849,0.9218105217108226,20335,0.3326575756072998,0.06668711538931624,29.6,7930.421875,40.60775709152222,448.209673166275,50214,0.8344912528991699
11,250,0.03596129148907701,0.8531991501012007,0.9218104533601901,25319,0.4160144329071045,0.06965322988441741,33.4,7887.75,40.60775709152222,448.209673166275,50214,0.8344912528991699
11,300,0.03820050147170434,0.8581359165836252,0.9218100335275998,30297,0.5007045269012451,0.07252840900737978,37.2,8035.00390625,40.60775709152222,448.209673166275,50214,0.8344912528991699
11,350,0.05636979409181758,0.8439052630954366,0.9218107923724268,35279,0.5840702056884766,0.07464756924881895,30.0,8028.4609375,40.60775709152222,448.209673166275,50214,0.8344912528991699
11,400,0.08637573461130832,0.8534329841236078,0.9218099837792089,40253,0.666820764541626,0.07665583439301374,29.8,7828.29296875,40.60775709152222,448.209673166275,50214,0.8344912528991699
11,450,0.024135830596204666,0.8538433315211508,0.9218107837277831,45232,0.7502255439758301,0.07874983905952944,29.8,7826.63671875,40.60775709152222,448.209673166275,50214,0.8344912528991699
11,500,0.02374144268594569,0.8361267660526103,0.9218108097470193,50214,0.8344912528991699,0.08101039018459663,32.5,7867.109375,40.60775709152222,448.209673166275,50214,0.8344912528991699
