run,generation,min_fitness,mean_fitness,max_fitness,mean_diversity,total_time,cpu_percent,memory_used_MB
11,1,0.49375781214766307,0.49998085087087063,0.5018987254179893,254.13987714099457,0.001245260238647461,0.0,235.35546875
11,2,0.4949109350755851,0.5000621714282961,0.5116886387989196,217.6110816835459,0.0026390552520751953,0.0,235.35546875
11,3,0.4790876216125634,0.49998811953981587,0.5140569561470542,164.5405538484441,0.003546476364135742,212.625,235.35546875
11,4,0.4562124255563382,0.4996082542998,0.5540371595753499,115.04258314760031,0.00455784797668457,0.0,235.35546875
11,5,0.4328804383007848,0.5016831716358284,0.5751980761505116,84.71650693377802,0.0054056644439697266,0.0,235.35546875
11,6,0.4070074629777187,0.5011142427227826,0.603895278483016,76.10413759814232,0.006583690643310547,0.0,235.35546875
11,7,0.2508938663377319,0.49817285417027735,0.6388083051830971,77.03111919448929,0.007505893707275391,0.0,235.35546875
11,8,0.3610041008349054,0.4983337988586278,0.6733349902267338,75.1161704334917,0.008427143096923828,0.0,235.35546875
11,9,0.30448797570465447,0.4946231022199264,0.6798241513288946,70.59613829050828,0.00932931900024414,0.0,235.35546875
11,10,0.18983730837582197,0.5012299276019841,0.7717873623903684,65.82118250731195,0.010271072387695312,0.0,235.35546875
11,11,0.18718150322345772,0.501432616877506,0.7892979855811691,60.505997241164344,0.011191606521606445,196.7,235.35546875
11,12,0.15379825229576238,0.5007844072643772,0.853712658358668,53.781300153941295,0.012079238891601562,0.0,235.35546875
11,13,0.1526455414307667,0.49816659364301086,0.8640965731887849,46.976950469511955,0.012905359268188477,0.0,235.35546875
11,14,0.10251762320643909,0.48912231705967085,0.8729377107145704,41.3551378413516,0.013879537582397461,0.0,235.35546875
11,15,0.05836983586599265,0.49443637322340855,0.9216525361243396,37.294570196542324,0.015219449996948242,0.0,235.35546875
11,16,0.09686853373843074,0.5126296535129512,0.9216525361243396,34.24469089006246,0.016124486923217773,0.0,235.35546875
11,17,0.06059769875559928,0.49924509588885413,0.9525714034141203,31.773336443428246,0.017165660858154297,0.0,235.35546875
11,18,0.05674194912776276,0.49606636755659783,0.9525714034141203,29.20707066897197,0.018255233764648438,0.0,235.35546875
11,19,0.02236818084813541,0.4880711926891146,0.9583863502042966,26.490409420345053,0.01963353157043457,138.3,235.35546875
11,20,0.05689098047456559,0.49267916029760117,0.9583863502042966,23.92585911409283,0.020496129989624023,0.0,235.35546875
11,21,0.02486220710058623,0.4914964619372083,0.9608592853287572,21.645208317646645,0.02138543128967285,0.0,235.35546875
11,22,0.03550617507204923,0.5038694574734236,0.9623781942376619,19.308517477377634,0.022320985794067383,0.0,235.35546875
11,23,0.021940230476539646,0.48934851386070793,0.9625070519208778,17.37296241755566,0.02324199676513672,0.0,235.35546875
11,24,0.028372543074791257,0.5003532621240528,0.9627498795234604,15.970236025228466,0.024227142333984375,0.0,235.35546875
11,25,0.022133009328910824,0.46631393656731096,0.9627498795234604,14.873737675640532,0.02505207061767578,0.0,235.35546875
11,26,0.021468031652777886,0.4796291898754514,0.9627498795234604,13.794931951221947,0.025862455368041992,0.0,235.35546875
11,27,0.021473915508196884,0.4880778350540572,0.962757253134406,12.764405376987606,0.02695155143737793,185.075,235.35546875
11,28,0.021571147288139303,0.4958744852450239,0.962775554397847,11.817337584343827,0.028182506561279297,0.0,235.35546875
11,29,0.02148395268947323,0.49602078197927174,0.962775554397847,11.060338605864157,0.029289722442626953,0.0,235.35546875
11,30,0.021517825429374138,0.5203414507159282,0.962775554397847,10.34037684496022,0.03033733367919922,0.0,235.35546875
11,31,0.021468191322617347,0.5703023976652006,0.962775554397847,9.824405884590943,0.03149890899658203,0.0,235.35546875
11,32,0.021471678320509613,0.548880527122423,0.962775554397847,9.446328060233183,0.03273725509643555,0.0,235.35546875
11,33,0.021537043305968173,0.5369472639611491,0.962775554397847,8.902040862875154,0.03366899490356445,0.0,235.35546875
11,34,0.021468695262636228,0.5333838752452875,0.962775554397847,8.29157003647549,0.03453207015991211,220.875,235.35546875
11,35,0.021521795067392047,0.5400192713856343,0.962775554397847,7.801728200399961,0.03542208671569824,0.0,235.35546875
11,36,0.02147559109972952,0.5495464372652715,0.9627758864161444,7.494908532818157,0.036428213119506836,0.0,235.35546875
11,37,0.021469326893079232,0.5671138832714888,0.9627758864161444,7.226202718004676,0.03726625442504883,0.0,235.35546875
11,38,0.023261772058344232,0.5969923086866045,0.9627758864161444,7.001134403236718,0.03808784484863281,0.0,235.35546875
11,39,0.023643167172367474,0.6090711389153084,0.9627758864161444,6.719625341881742,0.03908872604370117,0.0,235.35546875
11,40,0.022086411681134344,0.6212162227192832,0.9627758864161444,6.393067509906331,0.04043841361999512,0.0,235.35546875
11,41,0.021472119567950865,0.6139816548967985,0.9627758864161444,6.161039929929281,0.04138517379760742,180.175,235.35546875
11,42,0.02146790942161564,0.6120616583806877,0.9627759054822898,6.0252430065172105,0.04246044158935547,0.0,235.35546875
11,43,0.021617756336936578,0.6041785977933843,0.9627759054822898,5.860652666721296,0.043454647064208984,0.0,235.35546875
11,44,0.02147328375068619,0.5984073992269399,0.9627759054822898,5.687987789719815,0.0448458194732666,0.0,235.35546875
11,45,0.02251640830887025,0.6150161330727726,0.9627759054822898,5.525034044468861,0.045754432678222656,0.0,235.35546875
11,46,0.02151753926418082,0.6364043617606557,0.9627759054822898,5.4186077284564815,0.04666399955749512,0.0,235.35546875
11,47,0.021584506385952107,0.6477737392554209,0.9627759054822898,5.336853533657334,0.04783487319946289,0.0,235.35546875
11,48,0.024731046261619982,0.6648759640100902,0.9627759054822898,5.267812799501649,0.048974037170410156,151.55,235.35546875
11,49,0.024156656732952808,0.6634717943852436,0.9627759054822898,5.211015297748382,0.04982590675354004,0.0,235.35546875
11,50,0.021503310934014586,0.6606959440641723,0.9627759054822898,5.0826943013424515,0.05064558982849121,0.0,235.35546875
11,51,0.02766004680297479,0.66678011586236,0.9796786944029233,4.935795105885935,0.05179166793823242,0.0,235.35546875
11,52,0.02159751087732903,0.4782023092770106,0.9796786944029233,4.859817304938864,0.0529940128326416,0.0,235.35546875
11,53,0.021470441144589347,0.2780723399583445,0.9796786944029233,4.85138227507592,0.05381202697753906,0.0,235.35546875
11,54,0.021483951155878922,0.30015015701764597,0.983314537628073,4.763935555269344,0.05484199523925781,0.0,235.35546875
11,55,0.021468215726664464,0.31146916798172614,0.9871928017499095,4.665592472757573,0.055728912353515625,0.0,235.35546875
11,56,0.021481412771786612,0.2696975526225916,0.990093487514824,4.616649234756322,0.05688285827636719,172.9,235.35546875
11,57,0.02146809061945626,0.2898789437503382,0.990093487514824,4.600428473249995,0.05790376663208008,0.0,235.35546875
11,58,0.021467899383456224,0.3116829507694316,0.990093487514824,4.553769955883862,0.05885887145996094,0.0,235.35546875
11,59,0.02147036525201318,0.32887870735216895,0.990093487514824,4.484787842465254,0.06023240089416504,0.0,235.35546875
11,60,0.021486159394076276,0.3265034678308508,0.9900964921696613,4.44853362721645,0.061116695404052734,0.0,235.35546875
11,61,0.02146790286116773,0.296142375607131,0.9900964921696613,4.425797837419024,0.061979055404663086,0.0,235.35546875
11,62,0.02148236771542411,0.33557685912991936,0.9902064153747099,4.396749135769226,0.06293010711669922,0.0,235.35546875
11,63,0.02146838675628676,0.3714842335926079,0.9902064153747099,4.34293243584577,0.06377720832824707,0.0,235.35546875
11,64,0.021476235921901843,0.4010894096133745,0.9902064153747099,4.282436367035692,0.06514930725097656,0.0,235.35546875
11,65,0.02146824710856088,0.4007452560236835,0.990273084743406,4.255715241709611,0.06606006622314453,0.0,235.35546875
11,66,0.021467907002896414,0.3615505782468715,0.990273084743406,4.244021845769762,0.0670158863067627,0.0,235.35546875
11,67,0.02146905647468017,0.3251293879282335,0.9902838425305738,4.176141751875573,0.06804251670837402,0.0,235.35546875
11,68,0.021469878934965603,0.3164269008639017,0.9902838425305738,4.121971622763399,0.06917047500610352,0.0,235.35546875
11,69,0.02147150469806658,0.3024950974108166,0.9902838425305738,4.0938456663224825,0.07016372680664062,170.35,235.35546875
11,70,0.02147477281777399,0.29686092981792456,0.9902838425305738,4.099227892245757,0.07100367546081543,0.0,235.35546875
11,71,0.021469833284757045,0.30210104718908337,0.9902838425305738,4.1015922297085465,0.07184886932373047,0.0,235.35546875
11,72,0.021492051043649374,0.31855346609054286,0.9902838425305738,4.051598544600085,0.07281780242919922,0.0,235.35546875
11,73,0.021474038930582806,0.32129302431183987,0.9902838425305738,4.001481222334791,0.07371902465820312,0.0,235.35546875
11,74,0.021470372172153473,0.3123819107038515,0.9902838425305738,3.953063723304688,0.07457232475280762,0.0,235.35546875
11,75,0.02147156815577883,0.30651076146992084,0.9902838425305738,3.9582115290810034,0.0754857063293457,0.0,235.35546875
11,76,0.021468941165795286,0.29452085755037277,0.9902838425305738,3.9368342836682766,0.07629132270812988,237.775,235.35546875
11,77,0.012151492791174778,0.28964191412295237,0.9902838425305738,3.9342699466101294,0.07722783088684082,0.0,235.35546875
11,78,0.02147068444650274,0.2890282517084903,0.9902838425305738,3.9521203610795226,0.07850503921508789,0.0,235.35546875
11,79,0.021469704218068764,0.2997000222537358,0.9902838425305738,3.9647219750292866,0.07942819595336914,0.0,235.35546875
11,80,0.02146902387034344,0.3074301450804334,0.9902838425305738,3.947243663295234,0.0803678035736084,0.0,235.35546875
11,81,0.021468198507266945,0.2972792600561912,0.9902838425305738,3.933221995987932,0.08152961730957031,0.0,235.35546875
11,82,0.021481444193578614,0.2943477498957808,0.9902838425305738,3.9017174093259137,0.0828239917755127,0.0,235.35546875
11,83,0.021467926632462664,0.297224108363186,0.9902838425305738,3.859197707755284,0.0836782455444336,218.65,235.35546875
11,84,0.021468643459212455,0.3065418013023573,0.9902838425305738,3.8642966855642906,0.08459329605102539,0.0,235.35546875
11,85,0.021480873514996945,0.2960706066107428,0.9902838425305738,3.8446178889963685,0.08548259735107422,0.0,235.35546875
11,86,0.021468392080105814,0.2741427114121647,0.9902838425305738,3.8448574391752084,0.08637475967407227,0.0,235.35546875
11,87,0.02147086702997314,0.2790248103241637,0.9902838425305738,3.8684809323765323,0.08722805976867676,0.0,235.35546875
11,88,0.021467924961990514,0.3004201844911639,0.9902838425305738,3.890434610939287,0.0880439281463623,0.0,235.35546875
11,89,0.02147126436679475,0.296306740350606,0.9902838425305738,3.901868314535846,0.08885002136230469,0.0,235.35546875
11,90,0.021488637641127906,0.30314281700027207,0.9902838425305738,3.8730300820629413,0.08976483345031738,0.0,235.35546875
11,91,0.021469849072718816,0.31457229542376464,0.9902838425305738,3.870907676569422,0.0907449722290039,0.0,235.35546875
11,92,0.021468397099539904,0.2966104191627876,0.9902838425305738,3.8528083962821564,0.09158158302307129,228.45,235.35546875
11,93,0.02146907191231845,0.2915919977263148,0.9902838425305738,3.8563313801723336,0.09252429008483887,0.0,235.35546875
11,94,0.021472729131996937,0.28760240702397893,0.9902838425305738,3.8750927024630992,0.09346961975097656,0.0,235.35546875
11,95,0.02146800330926113,0.290315494208477,0.9902838425305738,3.892728468640264,0.09446525573730469,0.0,235.35546875
11,96,0.021468974447161226,0.30621623642970053,0.9902838425305738,3.9082050649636964,0.09563612937927246,0.0,235.35546875
11,97,0.021478434749342357,0.2997660638681365,0.9902838425305738,3.8957740405589782,0.09660935401916504,0.0,235.35546875
11,98,0.021478868148985808,0.30432150228969856,0.9902840668147371,3.872422994971891,0.09757399559020996,0.0,235.35546875
11,99,0.021467903153861934,0.3076840715269122,0.9902840668147371,3.8658131153182516,0.09846758842468262,0.0,235.35546875
11,100,0.021516454563965448,0.3003152267669668,0.9902840694453543,3.8613977591018327,0.0993962287902832,192.125,235.35546875
11,101,0.021468308498802047,0.2876274377981558,0.9902840694453543,3.818352541452471,0.1002495288848877,0.0,235.35546875
11,102,0.021479098734890012,0.28970568032522437,0.9902840694453543,3.782468741972965,0.10109734535217285,0.0,235.35546875
11,103,0.02147188616211032,0.30311661016834385,0.9902840694453543,3.8074945808036644,0.10204076766967773,0.0,235.35546875
11,104,0.021475188361039177,0.31542147215964816,0.9902840694453543,3.8634796181522995,0.10312747955322266,0.0,235.35546875
11,105,0.021467902881759815,0.3143013191264355,0.9902840694453543,3.8822240056673527,0.10393857955932617,0.0,235.35546875
11,106,0.021477728606550617,0.30188163914010724,0.9902840694453543,3.856456408537365,0.10474705696105957,0.0,235.35546875
11,107,0.021469938785217635,0.29931115182278356,0.9902840694453543,3.8382386832474507,0.10558128356933594,0.0,235.35546875
11,108,0.021467981379336032,0.291046537148409,0.9902840694453543,3.8325828761008434,0.10647845268249512,219.15,235.35546875
11,109,0.02146884920308567,0.29055487113867967,0.9902840694453543,3.810760404456602,0.10726165771484375,0.0,235.35546875
11,110,0.021468103730212518,0.2881594029934375,0.9902840694453543,3.7761687924364935,0.10801482200622559,0.0,235.35546875
11,111,0.021483337890556342,0.298436093311766,0.9902840694453543,3.797060016509206,0.10889410972595215,0.0,235.35546875
11,112,0.021469723068551716,0.29318637743499254,0.9902840694453543,3.8326056776530693,0.10964369773864746,0.0,235.35546875
