run,generation,min_fitness,mean_fitness,max_fitness,time_per_gen,total_time,cpu_percent,cpu_time,memory_used_MB
4,1,0.1563078622061636,0.5060804619397851,0.9544657051786813,0.03351092338562012,0.03351092338562012,22.7,992.8100000000001,326.2578125
4,2,0.11758950970003607,0.5144820126101929,0.9544657051786813,0.02969503402709961,0.06320595741271973,25.175,992.84,326.2578125
4,3,0.07125242558822725,0.5195078553261008,0.9544657051786813,0.031102418899536133,0.09430837631225586,24.125,992.87,326.2578125
4,4,0.1551011213765826,0.5286892590710783,0.9544657051786813,0.029926538467407227,0.12423491477966309,25.05,992.9,326.2578125
4,5,0.057531921827639054,0.5420132404070133,0.9544657051786813,0.030388593673706055,0.15462350845336914,24.7,992.93,326.2578125
4,6,0.06963265832908949,0.5435446288439398,0.9544657051786813,0.02914881706237793,0.18377232551574707,25.7,992.96,326.2578125
4,7,0.057531921827639054,0.5428034050287225,0.9544657051786813,0.02964305877685547,0.21341538429260254,25.325,992.99,326.2578125
4,8,0.057531921827639054,0.5370193327509437,0.9544657051786813,0.03138852119445801,0.24480390548706055,31.825,993.03,326.2578125
4,9,0.0334893515484162,0.5558544939492126,0.9544657051786813,0.029543161392211914,0.27434706687927246,25.375,993.06,326.2578125
4,10,0.057531921827639054,0.57388335484706,0.9544657051786813,0.027858495712280273,0.30220556259155273,26.925,993.09,326.2578125
4,11,0.057531921827639054,0.5762948055034709,0.9544657051786813,0.028679609298706055,0.3308851718902588,26.15,993.12,326.2578125
4,12,0.057531921827639054,0.5996588715591935,0.9558352162658158,0.027438879013061523,0.3583240509033203,18.225,993.14,326.2578125
4,13,0.057531921827639054,0.6418215613118252,0.9558352162658158,0.02828359603881836,0.38660764694213867,26.525,993.17,326.2578125
4,14,0.057531921827639054,0.655351850865193,0.9558352162658158,0.028484106063842773,0.41509175300598145,26.325,993.2,326.2578125
4,15,0.057531921827639054,0.7405020377441942,0.9558352162658158,0.028179168701171875,0.4432709217071533,26.6,993.23,326.2578125
4,16,0.057531921827639054,0.8191677870786764,0.9558352162658158,0.02653336524963379,0.4698042869567871,28.275,993.26,326.2578125
4,17,0.11578399996413324,0.859775893719431,0.9558352162658158,0.026297569274902344,0.49610185623168945,19.025,993.28,326.2578125
4,18,0.057531921827639054,0.8881893441889089,0.9558352162658158,0.02572464942932129,0.5218265056610107,29.15,993.31,326.2578125
4,19,0.2651757565235584,0.9036039387329686,0.9626410665599,0.027222633361816406,0.5490491390228271,18.375,993.33,326.2578125
4,20,0.48611477151842547,0.9056403355512131,0.9626410665599,0.02688741683959961,0.5759365558624268,27.875,993.36,326.2578125
4,21,0.3302259031717003,0.9010891641809763,0.9626410665599,0.02565312385559082,0.6015896797180176,29.225,993.39,326.2578125
4,22,0.4349535094048087,0.9057316542627677,0.9626410665599,0.026587724685668945,0.6281774044036865,18.825,993.41,326.2578125
4,23,0.46702767998736894,0.9238638690788905,0.9626410665599,0.026547670364379883,0.6547250747680664,28.225,993.4399999999999,326.2578125
4,24,0.08459557123355133,0.9220375024519621,0.9626410665599,0.025656938552856445,0.6803820133209229,29.225,993.47,326.2578125
4,25,0.3614702257901987,0.9272671382276821,0.9626410665599,0.026958227157592773,0.7073402404785156,18.55,993.49,326.2578125
4,26,0.422623727257623,0.9254264575008597,0.9626410665599,0.02669978141784668,0.7340400218963623,28.1,993.52,326.2578125
4,27,0.021838762741409334,0.9299137396696238,0.9626410665599,0.026525020599365234,0.7605650424957275,28.275,993.55,326.2578125
4,28,0.3860523851997936,0.9316980022071756,0.9626410665599,0.026683807373046875,0.7872488498687744,18.75,993.57,326.2578125
4,29,0.47168605336615294,0.9338448931084103,0.9626410665599,0.026407480239868164,0.8136563301086426,28.425,993.6,326.2578125
4,30,0.18493007827412516,0.9315941107160232,0.9626410665599,0.027864694595336914,0.8415210247039795,26.975,993.63,326.2578125
4,31,0.049124276843961756,0.9305678985061105,0.9626410665599,0.027101993560791016,0.8686230182647705,18.4,993.65,326.2578125
4,32,0.28821947907940715,0.930020560978911,0.9626410665599,0.026305675506591797,0.8949286937713623,28.525,993.68,326.2578125
4,33,0.47088653573216743,0.9349974025543006,0.9626410665599,0.025913715362548828,0.9208424091339111,28.925,993.71,326.2578125
4,34,0.1528335024781856,0.9323879870872229,0.9626410665599,0.026320457458496094,0.9471628665924072,19.0,993.73,326.2578125
4,35,0.14140864300928513,0.9308754387323767,0.9626410665599,0.026714801788330078,0.9738776683807373,28.075,993.76,326.2578125
4,36,0.3255219739612665,0.9400671825651381,0.9626410665599,0.02606821060180664,0.999945878982544,28.775,993.79,326.2578125
