run,generation,min_fitness,mean_fitness,max_fitness,fitness_calls,fitness_time_total,avg_time_per_gen,cpu_percent,memory_used_MB,run_time_seconds,total_time_seconds,total_fitness_calls,total_fitness_eval_time
32,1,0.13182452421907842,0.5005493384886229,0.8102463224271976,600,0.010369300842285156,0.028731465339660645,31.3,8537.49609375,52.86963629722595,1534.0250532627106,50264,1.1911165714263916
32,50,0.005319310599295024,0.8416649493518598,0.9883556268277768,5471,0.11037135124206543,0.05591878236508837,54.2,8535.62890625,52.86963629722595,1534.0250532627106,50264,1.1911165714263916
32,100,0.06740808253735403,0.8587619045538636,0.9902687853377841,10444,0.22051572799682617,0.0693036400445617,62.7,8537.328125,52.86963629722595,1534.0250532627106,50264,1.1911165714263916
32,150,0.011476683493647055,0.8990668084917829,0.9932725313238765,15427,0.33051586151123047,0.07443638511051405,57.0,8539.984375,52.86963629722595,1534.0250532627106,50264,1.1911165714263916
32,200,0.0229262764730655,0.8880141191850691,0.9963779994188264,20401,0.4483489990234375,0.07770654218113837,60.0,8540.2421875,52.86963629722595,1534.0250532627106,50264,1.1911165714263916
32,250,0.03338009220850252,0.8902040782042764,0.9902831134873844,25384,0.5588493347167969,0.08087535493402367,56.0,8542.05859375,52.86963629722595,1534.0250532627106,50264,1.1911165714263916
32,300,0.029443378634008033,0.9022763710065497,0.9966798463421869,30360,0.6720144748687744,0.08445871866422634,63.5,8542.59375,52.86963629722595,1534.0250532627106,50264,1.1911165714263916
32,350,0.002533032981516914,0.9154689301031805,0.99028352995376,35336,0.8023555278778076,0.08991914325290257,71.4,8752.1015625,52.86963629722595,1534.0250532627106,50264,1.1911165714263916
32,400,0.05637498161972154,0.9284842549912657,0.9902839751574951,40309,0.9332141876220703,0.09560467536907244,62.5,8573.546875,52.86963629722595,1534.0250532627106,50264,1.1911165714263916
32,450,0.0030269274224349885,0.922785632921537,0.9902809751754122,45285,1.0625977516174316,0.10099595560467164,62.2,8551.25,52.86963629722595,1534.0250532627106,50264,1.1911165714263916
32,500,0.004983143664806011,0.889072832591314,0.9902807161424625,50264,1.1911165714263916,0.10547209690192978,59.3,8555.140625,52.86963629722595,1534.0250532627106,50264,1.1911165714263916
